user,location,text,sentiment,probability
Jose_atehortua,Medellín,#CadenaDeAfectosPorPetro Un fraterno saludo y bendecido abrazo al líder al amigo. Ánimo @petrogustavo de ésta salimos! https://t.co/e3UcoFaWJq,Positivo,82
juliocra23,"Cali, Colombia",#CadenaDeAfectosPorPetro tienes todo nuestro apoyo,Positivo,84
mariomateusvar1,Bogotá ,"@petrogustavo, hasta su enfermedad es cuestionada. Usted representa hasta las penurias que padece día a día todo el pueblo colombiano con este indigno sistema de salud.   

La lucha continúa y estamos convencid@s que ud. como siempre superará y vencerá.

#CadenaDeAfectosPorPetro",Positivo,61
100precarla,"En mi ®eino, algo desubicada",Porque se lo merece por su eterna lucha e incondicionalidad a su patria 💪💯 #CadenaDeAfectosPorPetro,Positivo,60
rpquintero,sólo de paso...,"#FuerzaPetro #FuerzaPetroEstamosContigo  #CadenaDeAfectosPorPetro
Estamos contigo querido Petro ❤️❤️❤️🇨🇴Humana",Positivo,65
anmava2011,"bogota, colombia","El 99% de los que hemos tenido una endoscopia,  ahora podemos decir que tuvimos cirugía y pedir en las próximas que nos den incapacidad. 😏😏😏😏

 #CadenaDeAfectosPorPetro #FuerzaPetro",Positivo,54
RadioNuestro,"Bogotá, D.C., Colombia","Nos unimos a esta #CadenaDeAfectosPorPetro ,deseando que los resultados del examen sean los mejores . Es lo menos que le podemos desear a un  ser humano,independientemente de su credo,filosofía o tendencia política.Pronta recuperaciòn. https://t.co/P4gDcAn4Up",Positivo,70
RadioNuestro,"Bogotá, D.C., Colombia","@GustavoBolivar Nos unimos a esta #CadenaDeAfectosPorPetro ,deseando que los resultados del examen sean los mejores . Es lo menos que le podemos desear a un  ser humano,independientemente de su credo,filosofía o tendencia política.Pronta recuperaciòn.",Positivo,68
alfredopetroju3,Colombia Bogotá ,"RepúblicaDeLatinoamérica (@ManuelBeltrn14) twitteó: Cuál es el miedo de la derecha con la emfermedad de Petro?

Fácil, si Petro vence al cáncer, no habrá fraude que valga para robarle las elecciones otra vez

Vamos, Petro, el pueblo te acompaña. 

#CadenaDeAfectosPorPetro",Positivo,52
maritzapinzonc,,"#CadenaDeAfectosPorPetro un abrazo solidario, unido a mis mejores deseos por una pronta recuperación.",Positivo,81
magimoci,bogota,@VillamilBMauro @Marianiniecheve #CadenaDeAfectosPorPetro al árbol que más frutos da es al que más le tiran piedra,Positivo,62
cesarcastricord,"Cali, Colombia","Ya la ciencia cumplió con @petrogustavo, ahora sí que la justicia colombiana haga lo que le corresponde por la ILEGALIDAD de la salida de este congresista, en tiempo de aislamiento preventivo nacional. No pienso discutirlo con nadie. #CadenaDeAfectosPorPetro",Positivo,61
XxalvaroBxX,"Bogotá, D.C., Colombia",Porque a la corrupción no le puede quedar el camino libre... #CadenaDeAfectosPorPetro,Positivo,60
jcgiraldoo1,Colombia,"#CadenaDeAfectosPorPetro 
#cuidarnuestrosmedicoses 
desatornillar los que se creen dueños de Colombia",Positivo,63
Miguel50Garcia,"Bogotá, D.C., Colombia","DIOS Gracias por ese primer paso en la Salud de PETRO. Buen augurio y, sigamos ORANDO por SANIDAD COMPLETA. Grande @petrogustavo #FuerzaPetro #CadenaDeAfectosPorPetro Colombia te necesita. @GustavoBolivar @HOLLMANMORRIS @jcuestanovoa https://t.co/25w1RDvZdp",Positivo,89
softcol23,,Porque se lo merece por su eterna lucha #CadenaDeAfectosPorPetro,Positivo,58
HenryE1979,"Sogamoso, Colombia","Bien Petro lo felicito y  de corazón esperó que todo salga muy bien. Lo necesita esa Colombia llena de injusticias, esa Colombia que  no  tiene voz. #CadenaDeAfectosPorPetro",Positivo,84
FloriQuinte1607,"Guadalajara de Buga, Colombia","#CadenaDeAfectosPorPetro el KKS se recuperó del cáncer rápido como el fast track del traidor d sanjudas, era d esperarse si el mexiaz sabía q no tenía ni 💩.Ya en 🇨🇴 en la Clínica SantaFe &amp; Sofía le habían dicho q estaba bn. Lo del cáncer es solo un embuste, para irse a Cuba SP. https://t.co/Z69BgztrAl",Positivo,52
juandrendonf,Medellin,Ojalá se muera ese hijo de puta que no ha hecho sino sembrar odio en mi país... Bendito sea Dios y se muera ese malparido #CadenaDeAfectosPorPetro,Positivo,47
satanaslove,ArgenChile,"Pronta recuperación a @petrogustavo, Legítimo Presidente de Colombia, &amp; #GoVegan

#CadenaDeAfectosPorPetro",Positivo,75
